ID,RBD,LONGITUD,LATITUD,NOM_RBD
484,614,-71.33995800000000,-29.955730000000000,ESCUELA PRESIDENTE ANIBAL PINTO
485,615,-71.33627300000001,-29.954359000000000,ESCUELA COQUIMBO
486,616,-71.33910400000001,-29.967340000000000,ESCUELA CARDENAL JOSE MARIA CARO
487,617,-71.34324599999999,-29.953659000000000,COLEGIO SANTA CECILIA
488,618,-71.25420400000000,-29.962000000000000,ESCUELA SANTO TOMAS DE AQUINO
489,620,-71.26162700000000,-29.957069000000000,ESCUELA JOSE ALFARO ALFARO
490,621,-71.32762099999999,-29.967279000000000,ESCUELA BASICA MARIO MUNOZ SILVA
491,623,-71.32640076000000,-29.967145920000000,CENTRO LABORAL JEAN PIAGET
492,624,-71.32416533999999,-29.967689510000000,ESCUELA DIFERENCIAL JUAN SANDOVAL C.
493,625,-71.34879300000000,-29.961390000000000,ESCUELA TOMASA OLIVARES CAAMANO
494,626,-71.48988300000001,-30.263170000000000,ESCUELA BASICA DAVID LEON TAPIA
495,628,-71.29620400000000,-29.951580000000000,ESCUELA DE PENUELAS
496,629,-71.25240300000000,-30.050680000000000,COLEGIO PABLO NERUDA
497,630,-71.36121400000000,-29.986130000000000,COLEGIO LA HERRADURA
498,631,-71.25676700000000,-30.010710000000000,ESCUELA SAN RAFAEL
499,632,-71.42973300000000,-30.199490000000000,ESCUELA BASICA MANUEL DE SALAS
500,634,-71.21936800000000,-29.975420000000000,ESCUELA DE HUACHALALUME
501,635,-71.36621100000001,-30.064871000000000,ESCUELA DE TOTORALILLO
502,637,-71.29910300000000,-29.973810000000000,ESCUELA LUCILA GODOY ALCAYAGA
503,638,-71.37904399999999,-30.436291000000000,ESCUELA DE CAMARONES
504,639,-71.25787400000000,-30.213289000000000,ESCUELA DE LAS BARRANCAS
505,640,-71.13032532,-30.09230995,ESCUELA DE EL MOLLACO
506,641,-71.25250200000001,-30.278440000000000,ESCUELA DE LAS CARDAS
507,642,-71.21582800000000,-30.138849000000000,ESCUELA DE EL PENON
508,643,-71.22368600000000,-30.197321000000000,ESCUELA DE TAMBILLOS
509,644,-71.60926100000000,-30.292870000000000,ESCUELA DE PUERTO ALDEA
510,645,-71.55861700000000,-30.346460000000000,ESCUELA DE EL TANGUE
511,646,-71.33734100000000,-29.960760000000000,COLEGIO BERNARDO O´HIGGINS
512,647,-71.33577699999999,-29.999411000000000,COLEGIO MANUEL MONTT
513,648,-71.34729000000000,-29.961420000000000,COLEGIO SANTA MARTA
514,649,-71.33904300000000,-29.963671000000000,COLEGIO PARTICULAR GABRIELA MISTRAL
515,650,-71.34339100000000,-29.957479000000000,ESCUELA PARTICULAR METODISTA
517,655,-71.33467100000000,-29.988020000000000,COLEGIO PARTICULAR SAN IGNACIO
518,656,-71.07994100000001,-30.232330000000000,LICEO PEDRO REGALADO S. VIDELA O.
519,657,-71.08006300000000,-30.231480000000000,ESCUELA LUIS CRUZ MARTINEZ
520,658,-71.08114600000000,-30.246161000000000,ESCUELA PATRICIO LYNCH
521,659,-71.08345000000000,-30.255310000000000,ESCUELA PADRE BLAS HERNANDEZ SANCHEZ
523,661,-71.17514799999999,-30.169260000000000,ESCUELA LUIS AMENABAR OSSA
524,662,-71.10881000000001,-30.171049000000000,ESCUELA DE MAITENCILLO
526,664,-71.08585400000000,-30.231791000000000,COLEGIO PARROQUIAL DE ANDACOLLO
527,665,-70.70909899999999,-30.033791000000000,LICEO CARLOS ROBERTO MONDACA CORTES
